0,0,0
0.386815,0.212543,0.548099
0.747852,0.447012,0.998123
1.084,0.698667,1.35867
1.39615,0.962765,1.63832
1.68519,1.23457,1.84568
1.952,1.50933,1.98933
2.19748,1.78232,2.07788
2.42252,2.04879,2.1199
2.628,2.304,2.124
2.81481,2.54321,2.09877
2.98385,2.76168,2.05279
3.136,2.95467,1.99467
3.27215,3.11743,1.93299
3.39318,3.24523,1.87635
3.5,3.33333,1.83333
3.59356,3.37854,1.81062
3.67511,3.3839,1.80716
3.746,3.354,1.82
3.80756,3.29343,1.84617
3.86111,3.20679,1.88272
3.908,3.09867,1.92667
3.94956,2.97365,1.97506
3.98711,2.83635,2.02494
4.022,2.69133,2.07333
4.05556,2.54321,2.11728
4.08911,2.39657,2.15383
4.124,2.256,2.18
4.16156,2.1261,2.19284
4.20311,2.01146,2.18938
4.25,1.91667,2.16667
4.30281,1.84602,2.12306
4.35919,1.80264,2.06227
4.416,1.78933,1.98933
4.47015,1.80891,1.90928
4.51852,1.8642,1.82716
4.558,1.958,1.748
4.58548,2.09313,1.67684
4.59785,2.27242,1.61872
4.592,2.49866,1.57867
4.56482,2.77469,1.56173
4.51319,3.1033,1.57294
4.434,3.48733,1.61733
4.32415,3.92957,1.69995
4.18052,4.43286,1.82583
4,4.99999,2
